district	number
Gaibandha	53
Jamalpur	47
Barisal	43
Chittagong	766
Mymensingh	357
Bandarban	5
Lakshmipur	568
Gazipur	105
Satkhira	394
Khagrachhari	101
Sherpur	59
Sylhet	502
Comilla	239
Rangamati	82
Narsingdi	144
Kurigram	150
Jessore	536
Faridpur	458
Narail	172
Tangail	457
Munshiganj	297
Thakurgaon	29
Dhaka	385
Madaripur	287
Netrakona	74
Sunamganj	128
Cox's Bazar	87
Meherpur	97
Naogaon	966
Habiganj	170
Pabna	393
Bagerhat	625
Patuakhali	13
Rajbari	264
Jhenaidah	163
Maulvibazar	245
Magura	96
Natore	59
Joypurhat	44
Pirojpur	72
Bhola	65
Nawabganj	208
Noakhali	675
Jhalokati	2
Dinajpur	60
Bogra	429
Lalmonirhat	56
Khulna	432
Rajshahi	149
Rangpur	20
Kishoreganj	314
Manikganj	300
Kushtia	50
Brahmanbaria	357
Nilphamari	104
Sirajganj	109
Gopalganj	115
Panchagarh	187
Narayanganj	102
Shariatpur	236
Chuadanga	161
Feni	376
Barguna	110
Chandpur	83
